Code postal;Localité;Sous-commune;Commune principale;Province
2222;Wiekevorst;Oui;HEIST-OP-DEN-BERG;Anvers
5571;Wiesme;Oui;BEAURAING;Namur
3370;Willebringen;Oui;BOUTERSEM;Brabant Flamand
7506;Willemeau;Oui;TOURNAI;Hainaut
1150;WOLUWE-SAINT-PIERRE;Non;WOLUWE-SAINT-PIERRE;Bruxelles (19 communes)
9032;Wondelgem;Oui;GENT;Flandre-Orientale
4432;Xhendremael;Oui;ANS;Liège
3690;ZUTENDAAL;Non;ZUTENDAAL;Limbourg
2070;ZWIJNDRECHT;Non;ZWIJNDRECHT;Anvers
4557;Abée;Oui;TINLOT;Liège
6280;Acoz;Oui;GERPINNES;Hainaut
9991;Adegem;Oui;MALDEGEM;Flandre-Orientale
2020;ANTWERPEN;Non;ANTWERPEN;Anvers
5060;Auvelais;Oui;SAMBREVILLE;Namur
7830;Bassilly;Oui;SILLY;Hainaut
7604;Baugnies;Oui;PÉRUWELZ;Hainaut
9080;Beervelde;Oui;LOCHRISTI;Flandre-Orientale
8370;BLANKENBERGE;Non;BLANKENBERGE;Flandre-Occidentale
6700;Bonnert;Oui;ARLON;Luxembourg
3300;Bost;Oui;TIENEN;Brabant Flamand
9660;BRAKEL;Non;BRAKEL;Flandre-Orientale
7940;BRUGELETTE;Non;BRUGELETTE;Hainaut
2070;Burcht;Oui;ZWIJNDRECHT;Anvers
6460;CHIMAY;Non;CHIMAY;Hainaut
5590;CINEY;Non;CINEY;Namur
1380;Couture-Saint-Germain;Oui;LASNE;Brabant Wallon
4280;Crehen;Oui;HANNUT;Liège
5332;Crupet;Oui;ASSESSE;Namur
6860;Ebly;Oui;LÉGLISE;Luxembourg
1140;EVERE;Non;EVERE;Bruxelles (19 communes)
9940;EVERGEM;Non;EVERGEM;Flandre-Orientale
4870;Fraipont;Oui;TROOZ;Liège
1315;Glimes;Oui;INCOURT;Brabant Wallon
3740;Grote-Spouwen;Oui;BILZEN;Limbourg
3800;Halmaal;Oui;SINT-TRUIDEN;Limbourg
5190;Ham-Sur-Sambre;Oui;JEMEPPE-SUR-SAMBRE;Namur
3500;HASSELT;Non;HASSELT;Limbourg
3440;Helen-Bos;Oui;ZOUTLEEUW;Brabant Flamand
7090;Henripont;Oui;BRAINE-LE-COMTE;Hainaut
6887;HERBEUMONT;Non;HERBEUMONT;Luxembourg
2270;HERENTHOUT;Non;HERENTHOUT;Anvers
1733;HighCo DATA;;;
6984;Hives;Oui;LA ROCHE-EN-ARDENNE;Luxembourg
3840;Hoepertingen;Oui;BORGLOON;Limbourg
7387;HONNELLES;Non;HONNELLES;Hainaut
4460;Horion-Hozémont;Oui;GRÂCE-HOLLOGNE;Liège
8650;HOUTHULST;Non;HOUTHULST;Flandre-Occidentale
6120;Jamioulx;Oui;HAM-SUR-HEURE;Hainaut
1370;JODOIGNE;Non;JODOIGNE;Brabant Wallon
1730;Kobbegem;Oui;ASSE;Brabant Flamand
8670;KOKSIJDE;Non;KOKSIJDE;Flandre-Occidentale
8500;KORTRIJK;Non;KORTRIJK;Flandre-Occidentale
3840;Kuttekoven;Oui;BORGLOON;Limbourg
9850;Landegem;Oui;DEINZE;Flandre-Orientale
5070;Le Roux;Oui;FOSSES-LA-VILLE;Namur
2275;LILLE;Non;LILLE;Anvers
4287;LINCENT;Non;LINCENT;Liège
3040;Loonbeek;Oui;HULDENBERG;Brabant Flamand
1830;MACHELEN;Non;MACHELEN;Brabant Flamand
5300;Maizeret;Oui;ANDENNE;Namur
6960;MANHAY;Non;MANHAY;Luxembourg
8650;Merkem;Oui;HOUTHULST;Flandre-Occidentale
9200;Mespelare;Oui;DENDERMONDE;Flandre-Orientale
6661;Mont;Oui;HOUFFALIZE;Luxembourg
7911;Moustier;Oui;FRASNES-LEZ-ANVAING;Hainaut
5340;Mozet;Oui;GESVES;Namur
5680;Niverlée;Oui;DOISCHE;Namur
4360;OREYE;Non;OREYE;Liège
2360;OUD-TURNHOUT;Non;OUD-TURNHOUT;Anvers
1600;Oudenaken;Oui;SINT-PIETERS-LEEUW;Brabant Flamand
5555;Petit-Fays;Oui;BIÈVRE;Namur
4280;Petit-Hallet;Oui;HANNUT;Liège
7904;Pipaix;Oui;LEUZE-EN-HAINAUT;Hainaut
4850;PLOMBIÈRES;Non;PLOMBIÈRES;Liège
3930;Achel;Oui;HAMONT-ACHEL;Limbourg
1790;AFFLIGEM;Non;AFFLIGEM;Brabant Flamand
1070;ANDERLECHT;Non;ANDERLECHT;Bruxelles (19 communes)
6890;Anloy;Oui;LIBIN;Luxembourg
3271;Averbode;Oui;SCHERPENHEUVEL-ZICHEM;Brabant Flamand
9200;Baasrode;Oui;DENDERMONDE;Flandre-Orientale
2490;BALEN;Non;BALEN;Anvers
5570;Baronville;Oui;BEAURAING;Namur
7534;Barry;Oui;TOURNAI;Hainaut
4520;Bas-Oha;Oui;WANZE;Liège
6500;BEAUMONT;Non;BEAUMONT;Hainaut
1730;Bekkerzeel;Oui;ASSE;Brabant Flamand
5030;Beuzet;Oui;GEMBLOUX;Namur
2560;Bevel;Oui;NIJLEN;Anvers
6543;Bienne-Lez-Happart;Oui;LOBBES;Hainaut
3850;Binderveld;Oui;NIEUWERKERKEN;Limbourg
8501;Bissegem;Oui;KORTRIJK;Flandre-Occidentale
1325;Bonlez;Oui;CHAUMONT-GISTOUX;Brabant Wallon
3190;BOORTMEERBEEK;Non;BOORTMEERBEEK;Brabant Flamand
4300;Bovenistier;Oui;WAREMME;Liège
7604;Brasménil;Oui;PÉRUWELZ;Hainaut
4750;BUTGENBACH;Non;BUTGENBACH;Liège
4317;Celles;Oui;FAIMES;Liège
5650;Clermont;Oui;WALCOURT;Namur
4180;Comblain-Fairon;Oui;HAMOIR;Liège
5020;Daussoulx;Oui;NAMUR;Namur
4590;Ellemelle;Oui;OUFFET;Liège
8906;Elverdinge;Oui;IEPER;Flandre-Occidentale
7760;Escanaffles;Oui;CELLES;Hainaut
6220;FLEURUS;Non;FLEURUS;Hainaut
5650;Fontenelle;Oui;WALCOURT;Namur
7830;Fouleng;Oui;SILLY;Hainaut
5504;Foy-Notre-Dame;Oui;DINANT;Namur
5380;Franc-Waret;Oui;FERNELMONT;Namur
7040;Genly;Oui;QUÉVY;Hainaut
9500;GERAARDSBERGEN;Non;GERAARDSBERGEN;Flandre-Orientale
4000;Glain;Oui;LIÈGE;Liège
7100;Haine-Saint-Paul;Oui;LA LOUVIÈRE;Hainaut
6922;Halma;Oui;WELLIN;Luxembourg
6700;Heinsch;Oui;ARLON;Luxembourg
9310;Herdersem;Oui;AALST;Flandre-Orientale
8020;Hertsberge;Oui;OOSTKAMP;Flandre-Occidentale
3640;Kessenich;Oui;KINROOI;Limbourg
8300;KNOKKE-HEIST;Non;KNOKKE-HEIST;Flandre-Occidentale
4560;Les Avins;Oui;CLAVIER;Liège
6953;Lesterny;Oui;NASSOGNE;Luxembourg
6890;LIBIN;Non;LIBIN;Luxembourg
4987;Lorcé;Oui;STOUMONT;Liège
1360;Malèves-Sainte-Marie-Wastinnes;Oui;PERWEZ;Brabant Wallon
5530;Houx;Oui;YVOIR;Namur
3511;Kuringen;Oui;HASSELT;Limbourg
8600;Lampernisse;Oui;DIKSMUIDE;Flandre-Occidentale
9860;Landskouter;Oui;OOSTERZELE;Flandre-Orientale
8920;LANGEMARK-POELKAPELLE;Non;LANGEMARK-POELKAPELLE;Flandre-Occidentale
3700;Lauw;Oui;TONGEREN;Limbourg
8600;Leke;Oui;DIKSMUIDE;Flandre-Occidentale
9400;Lieferinge;Oui;NINOVE;Flandre-Orientale
7534;Maulde;Oui;TOURNAI;Hainaut
9820;MERELBEKE;Non;MERELBEKE;Flandre-Orientale
9992;Middelburg;Oui;MALDEGEM;Flandre-Orientale
3891;Mielen-Boven-Aalst;Oui;GINGELOM;Limbourg
1730;Mollem;Oui;ASSE;Brabant Flamand
4607;Mortroux;Oui;DALHEM;Liège
6660;Nadrin;Oui;HOUFFALIZE;Luxembourg
5100;Naninne;Oui;NAMUR;Namur
1910;Nederokkerzeel;Oui;KAMPENHOUT;Brabant Flamand
7862;Ogy;Oui;LESSINES;Hainaut
4540;Ombret;Oui;AMAY;Liège
9968;Oosteeklo;Oui;ASSENEDE;Flandre-Orientale
3350;Orsmaal-Gussenhoven;Oui;LINTER;Brabant Flamand
1340;OTTIGNIES-LOUVAIN-LA-NEUVE;Non;OTTIGNIES-LOUVAIN-LA-NEUVE;Brabant Wallon
5012;Parlement Wallon;;;
7640;Péronnes-Lez-Antoing;Oui;ANTOING;Hainaut
6230;PONT-À-CELLES;Non;PONT-À-CELLES;Hainaut
4350;REMICOURT;Non;REMICOURT;Liège
6927;Resteigne;Oui;TELLIN;Luxembourg
5080;Rhisnes;Oui;LA BRUYÈRE;Namur
1640;RHODE-SAINT-GENÈSE;Non;RHODE-SAINT-GENÈSE;Brabant Flamand
7500;Saint-Maur;Oui;TOURNAI;Hainaut
9688;Schorisse;Oui;MAARKEDAL;Flandre-Orientale
9890;Semmerzake;Oui;GAVERE;Flandre-Orientale
8710;Sint-Baafs-Vijve;Oui;WIELSBEKE;Flandre-Occidentale
9520;SINT-LIEVENS-HOUTEM;Non;SINT-LIEVENS-HOUTEM;Flandre-Orientale
9940;Sleidinge;Oui;EVERGEM;Flandre-Orientale
3650;Stokkem;Oui;DILSEN-STOKKEM;Limbourg
3511;Stokrooie;Oui;HASSELT;Limbourg
6813;Termes;Oui;CHINY;Luxembourg
6680;Tillet;Oui;SAINTE-ODE;Luxembourg
6767;Torgny;Oui;ROUVROY;Luxembourg
4980;TROIS-PONTS;Non;TROIS-PONTS;Liège
8370;Uitkerke;Oui;BLANKENBERGE;Flandre-Occidentale
1049;Union Européenne - Commission;;;
1048;Union Européenne - Conseil;;;
8210;Veldegem;Oui;ZEDELGEM;Flandre-Occidentale
7120;Vellereille-Les-Brayeux;Oui;ESTINNES;Hainaut
3870;Veulen;Oui;HEERS;Limbourg
4530;Vieux-Waleffe;Oui;VILLERS-LE-BOUILLET;Liège
1460;Virginal-Samme;Oui;ITTRE;Brabant Wallon
3770;Vlijtingen;Oui;RIEMST;Limbourg
7971;Wadelincourt;Oui;BELOEIL;Hainaut
3401;Walsbets;Oui;LANDEN;Brabant Flamand
1741;Wambeek;Oui;TERNAT;Brabant Flamand
9988;Waterland-Oudeman;Oui;SINT-LAUREINS;Flandre-Orientale
1300;WAVRE;Non;WAVRE;Brabant Wallon
2235;Westmeerbeek;Oui;HULSHOUT;Anvers
3271;Zichem;Oui;SCHERPENHEUVEL-ZICHEM;Brabant Flamand
2980;ZOERSEL;Non;ZOERSEL;Anvers
4317;Aineffe;Oui;FAIMES;Liège
4770;AMBLÈVE;Non;AMBLÈVE;Liège
6150;ANDERLUES;Non;ANDERLUES;Hainaut
4821;Andrimont;Oui;DISON;Liège
5537;ANHÉE;Non;ANHÉE;Namur
9404;Aspelare;Oui;NINOVE;Flandre-Orientale
7387;Athis;Oui;HONNELLES;Hainaut
4880;AUBEL;Non;AUBEL;Liège
1160;AUDERGHEM;Non;AUDERGHEM;Bruxelles (19 communes)
7331;Baudour;Oui;SAINT-GHISLAIN;Hainaut
1401;Baulers;Oui;NIVELLES;Brabant Wallon
3580;BERINGEN;Non;BERINGEN;Limbourg
4831;Bilstain;Oui;LIMBOURG;Liège
1367;Bomal;Oui;RAMILLIES;Brabant Wallon
8450;BREDENE;Non;BREDENE;Flandre-Occidentale
3380;Bunsbeek;Oui;GLABBEEK;Brabant Flamand
6230;Buzet;Oui;PONT-À-CELLES;Hainaut
4367;CRISNÉE;Non;CRISNÉE;Liège
3700;Diets-Heur;Oui;TONGEREN;Limbourg
9630;Dikkele;Oui;ZWALM;Flandre-Orientale
3650;DILSEN-STOKKEM;Non;DILSEN-STOKKEM;Limbourg
9700;Edelare;Oui;OUDENAARDE;Flandre-Orientale
8480;Eernegem;Oui;ICHTEGEM;Flandre-Occidentale
9140;Elversele;Oui;TEMSE;Flandre-Orientale
9420;Erpe;Oui;ERPE-MERE;Flandre-Orientale
4950;Faymonville;Oui;WAIMES;Liège
4190;FERRIÈRES;Non;FERRIÈRES;Liège
5620;Flavion;Oui;FLORENNES;Namur
7911;Frasnes-Lez-Buissenal;Oui;FRASNES-LEZ-ANVAING;Hainaut
5030;GEMBLOUX;Non;GEMBLOUX;Namur
5680;Gimnée;Oui;DOISCHE;Namur
9090;Gontrode;Oui;MELLE;Flandre-Orientale
3800;Groot-Gelmen;Oui;SINT-TRUIDEN;Limbourg
6782;Habergy;Oui;MESSANCY;Luxembourg
7911;Hacquegnies;Oui;FRASNES-LEZ-ANVAING;Hainaut
5351;Haillot;Oui;OHEY;Namur
4180;HAMOIR;Non;HAMOIR;Liège
8551;Heestert;Oui;ZWEVEGEM;Flandre-Occidentale
2801;Heffen;Oui;MECHELEN;Anvers
4480;Hermalle-Sous-Huy;Oui;ENGIS;Liège
7911;Herquegies;Oui;FRASNES-LEZ-ANVAING;Hainaut
8501;Heule;Oui;KORTRIJK;Flandre-Occidentale
2880;Hingene;Oui;BORNEM;Anvers
3390;Houwaart;Oui;TIELT-WINGE;Brabant Flamand
1654;Huizingen;Oui;BEERSEL;Brabant Flamand
3800;Kerkom-Bij-Sint-Truiden;Oui;SINT-TRUIDEN;Limbourg
5080;LA BRUYÈRE;Non;LA BRUYÈRE;Namur
6767;Lamorteau;Oui;ROUVROY;Luxembourg
8340;Lapscheure;Oui;DAMME;Flandre-Occidentale
9340;LEDE;Non;LEDE;Flandre-Orientale
3061;Leefdaal;Oui;BERTEM;Brabant Flamand
1750;LENNIK;Non;LENNIK;Brabant Flamand
4280;Lens-Saint-Remy;Oui;HANNUT;Liège
4360;Lens-Sur-Geer;Oui;OREYE;Liège
9930;LIEVEGEM;Non;LIEVEGEM;Flandre-Orientale
3545;Loksbergen;Oui;HALEN;Limbourg
5310;Longchamps;Oui;EGHEZÉE;Namur
7700;Luingne;Oui;MOUSCRON;Hainaut
7812;Mainvault;Oui;ATH;Hainaut
6810;Jamoigne;Oui;CHINY;Luxembourg
5589;Jemelle;;;
3770;Kanne;Oui;RIEMST;Limbourg
3870;Klein-Gelmen;Oui;HEERS;Limbourg
3700;Koninksem;Oui;TONGEREN;Limbourg
2430;LAAKDAL;Non;LAAKDAL;Anvers
9280;LEBBEKE;Non;LEBBEKE;Flandre-Orientale
2890;Lippelo;Oui;PUURS-SINT-AMANDS;Anvers
6042;Lodelinsart;Oui;CHARLEROI;Hainaut
8570;ANZEGEM;Non;ANZEGEM;Flandre-Occidentale
3460;Assent;Oui;BEKKEVOORT;Brabant Flamand
5580;Ave-Et-Auffe;Oui;ROCHEFORT;Namur
9690;Berchem;Oui;KLUISBERGEN;Flandre-Orientale
6531;Biesme-Sous-Thuin;Oui;THUIN;Hainaut
4607;Bombaye;Oui;DALHEM;Liège
5021;Boninne;Oui;NAMUR;Namur
5032;Bothey;Oui;GEMBLOUX;Namur
6927;Bure;Oui;TELLIN;Luxembourg
6743;Buzenol;Oui;ETALLE;Luxembourg
5550;Chairière;Oui;VRESSE-SUR-SEMOIS;Namur
7160;CHAPELLE-LEZ-HERLAIMONT;Non;CHAPELLE-LEZ-HERLAIMONT;Hainaut
4537;Chapon-Seraing;Oui;VERLAINE;Liège
6810;CHINY;Non;CHINY;Luxembourg
9170;De Klinge;Oui;SINT-GILLIS-WAAS;Flandre-Orientale
5310;EGHEZÉE;Non;EGHEZÉE;Namur
3740;Eigenbilzen;Oui;BILZEN;Limbourg
9790;Elsegem;Oui;WORTEGEM-PETEGEM;Flandre-Orientale
4053;Embourg;Oui;CHAUDFONTAINE;Liège
4800;Ensival;Oui;VERVIERS;Liège
6441;Erpion;Oui;FROIDCHAPELLE;Hainaut
7080;Eugies;Oui;FRAMERIES;Hainaut
4607;Feneur;Oui;DALHEM;Liège
4347;FEXHE-LE-HAUT-CLOCHER;Non;FEXHE-LE-HAUT-CLOCHER;Liège
4181;Filot;Oui;HAMOIR;Liège
5650;Fraire;Oui;WALCOURT;Namur
4347;Freloux;Oui;FEXHE-LE-HAUT-CLOCHER;Liège
5651;Gourdinne;Oui;WALCOURT;Namur
6940;Grandhan;Oui;DURBUY;Luxembourg
3723;Guigoven;Oui;KORTESSEM;Limbourg
1320;Hamme-Mille;Oui;BEAUVECHAIN;Brabant Wallon
6767;Harnoncourt;Oui;ROUVROY;Luxembourg
8340;Hoeke;Oui;DAMME;Flandre-Occidentale
3471;Hoeleden;Oui;KORTENAKEN;Brabant Flamand
7110;Houdeng-Goegnies;Oui;LA LOUVIÈRE;Hainaut
8900;IEPER;Non;IEPER;Flandre-Occidentale
1745;Mazenzele;Oui;OPWIJK;Brabant Flamand
6567;MERBES-LE-CHÂTEAU;Non;MERBES-LE-CHÂTEAU;Hainaut
4280;Merdorp;Oui;HANNUT;Liège
6780;MESSANCY;Non;MESSANCY;Luxembourg
7942;Mévergnies-Lez-Lens;Oui;BRUGELETTE;Hainaut
7070;Mignault;Oui;LE ROEULX;Hainaut
5361;Mohiville;Oui;HAMOIS;Namur
3294;Molenstede;Oui;DIEST;Brabant Flamand
1367;Mont-Saint-André;Oui;RAMILLIES;Brabant Wallon
7812;Moulbaix;Oui;ATH;Hainaut
2812;Muizen;Oui;MECHELEN;Anvers
3400;Neerwinden;Oui;LANDEN;Brabant Flamand
3700;Nerem;Oui;TONGEREN;Limbourg
3850;NIEUWERKERKEN;Non;NIEUWERKERKEN;Limbourg
8800;Oekene;Oui;ROESELARE;Flandre-Occidentale
5350;OHEY;Non;OHEY;Namur
3960;Opitter;Oui;BREE;Limbourg
8582;Outrijve;Oui;AVELGEM;Flandre-Occidentale
7134;Péronnes-Lez-Binche;Oui;BINCHE;Hainaut
9790;Petegem-Aan-De-Schelde;Oui;WORTEGEM-PETEGEM;Flandre-Orientale
8647;Pollinkhove;Oui;LO-RENINGE;Flandre-Occidentale
4171;Poulseur;Oui;COMBLAIN-AU-PONT;Liège
6464;Rièzes;Oui;CHIMAY;Hainaut
8755;RUISELEDE;Non;RUISELEDE;Flandre-Occidentale
3803;Runkelen;Oui;SINT-TRUIDEN;Limbourg
5002;Saint-Servais;Oui;NAMUR;Namur
6982;Samrée;Oui;LA ROCHE-EN-ARDENNE;Luxembourg
9982;Sint-Jan-In-Eremo;Oui;SINT-LAUREINS;Flandre-Orientale
2960;Sint-Lenaarts;Oui;BRECHT;Anvers
6470;SIVRY-RANCE;Non;SIVRY-RANCE;Hainaut
8433;Slijpe;Oui;MIDDELKERKE;Flandre-Occidentale
5680;Soulme;Oui;DOISCHE;Namur
1933;Sterrebeek;Oui;ZAVENTEM;Brabant Flamand
6970;TENNEVILLE;Non;TENNEVILLE;Luxembourg
2830;Tisselt;Oui;WILLEBROEK;Anvers
3700;TONGEREN;Non;TONGEREN;Limbourg
4530;Vaux-Et-Borset;Oui;VILLERS-LE-BOUILLET;Liège
9130;Verrebroek;Oui;BEVEREN-WAAS;Flandre-Orientale
6230;Viesville;Oui;PONT-À-CELLES;Hainaut
7812;Villers-Notre-Dame;Oui;ATH;Hainaut
6941;Villers-Sainte-Gertrude;Oui;DURBUY;Luxembourg
9800;Vinkt;Oui;DEINZE;Flandre-Orientale
5680;Vodelée;Oui;DOISCHE;Namur
7131;Waudrez;Oui;BINCHE;Hainaut
3830;WELLEN;Non;WELLEN;Limbourg
3401;Wezeren;Oui;LANDEN;Brabant Flamand
7370;Wihéries;Oui;DOUR;Hainaut
8980;Zandvoorde;Oui;ZONNEBEKE;Flandre-Occidentale
9080;Zeveneken;Oui;LOCHRISTI;Flandre-Orientale
8660;Adinkerke;Oui;DE PANNE;Flandre-Occidentale
9890;Asper;Oui;GAVERE;Flandre-Orientale
6717;ATTERT;Non;ATTERT;Luxembourg
6870;Awenne;Oui;SAINT-HUBERT;Luxembourg
7784;Bas-Warneton;Oui;COMINES-WARNETON;Hainaut
1852;Beigem;Oui;GRIMBERGEN;Brabant Flamand
6533;Biercée;Oui;THUIN;Hainaut
5555;BIÈVRE;Non;BIÈVRE;Namur
3052;Blanden;Oui;OUD-HEVERLEE;Brabant Flamand
7370;Blaugies;Oui;DOUR;Hainaut
4537;Bodegnée;Oui;VERLAINE;Liège
7170;Bois-D'Haine;Oui;MANAGE;Hainaut
3840;Bommershoven;Oui;BORGLOON;Limbourg
3891;Borlo;Oui;GINGELOM;Limbourg
4990;Bra;Oui;LIERNEUX;Liège
1000;BRUXELLES;Non;BRUXELLES;Bruxelles (19 communes)
3440;Budingen;Oui;ZOUTLEEUW;Brabant Flamand
7061;Casteau;Oui;SOIGNIES;Hainaut
1450;CHASTRE;Non;CHASTRE;Brabant Wallon
7340;COLFONTAINE;Non;COLFONTAINE;Hainaut
2100;Deurne;Oui;ANTWERPEN;Anvers
8951;Dranouter;Oui;HEUVELLAND;Flandre-Occidentale
8380;Dudzele;Oui;BRUGGE;Flandre-Occidentale
3080;Duisburg;Oui;TERVUREN;Brabant Flamand
7190;ECAUSSINNES;Non;ECAUSSINNES;Hainaut
4120;Ehein;Oui;NEUPRÉ;Liège
2430;Eindhout;Oui;LAAKDAL;Anvers
9700;Eine;Oui;OUDENAARDE;Flandre-Orientale
1980;Eppegem;Oui;ZEMST;Brabant Flamand
5101;Erpent;Oui;NAMUR;Namur
8587;Espierres;Oui;ESPIERRES-HELCHIN;Flandre-Occidentale
5070;FOSSES-LA-VILLE;Non;FOSSES-LA-VILLE;Namur
3798;Fouron-Le-Comte;Oui;FOURONS;Limbourg
5600;Franchimont;Oui;PHILIPPEVILLE;Namur
6280;GERPINNES;Non;GERPINNES;Hainaut
8470;GISTEL;Non;GISTEL;Flandre-Occidentale
4400;Gleixhe;Oui;FLÉMALLE;Liège
5530;Godinne;Oui;YVOIR;Namur
9620;Godveerdegem;Oui;ZOTTEGEM;Flandre-Orientale
5555;Graide;Oui;BIÈVRE;Namur
2220;Hallaar;Oui;HEIST-OP-DEN-BERG;Anvers
5360;HAMOIS;Non;HAMOIS;Namur
4040;HERSTAL;Non;HERSTAL;Liège
5563;Hour;Oui;HOUYET;Namur
9130;Kallo;Oui;BEVEREN-WAAS;Flandre-Orientale
8581;Kerkhove;Oui;AVELGEM;Flandre-Occidentale
4141;Louveigné;Oui;SPRIMONT;Liège
5101;Loyers;Oui;NAMUR;Namur
6852;Maissin;Oui;PALISEUL;Luxembourg
6030;Marchienne-Au-Pont;Oui;CHARLEROI;Hainaut
6747;Meix-Le-Tige;Oui;SAINT-LÉGER;Luxembourg
8957;MESSINES;Non;MESSINES;Flandre-Occidentale
4850;Montzen;Oui;PLOMBIÈRES;Liège
5550;Mouzaive;Oui;VRESSE-SUR-SEMOIS;Namur
7332;Neufmaison;Oui;SAINT-GHISLAIN;Hainaut
6717;Nobressart;Oui;ATTERT;Luxembourg
6960;Odeigne;Oui;MANHAY;Luxembourg
9400;Okegem;Oui;NINOVE;Flandre-Orientale
1745;OPWIJK;Non;OPWIJK;Brabant Flamand
6983;Ortho;Oui;LA ROCHE-EN-ARDENNE;Luxembourg
7120;Peissant;Oui;ESTINNES;Hainaut
9850;Poesele;Oui;DEINZE;Flandre-Orientale
2382;Poppel;Oui;RAVELS;Anvers
2580;PUTTE;Non;PUTTE;Anvers
2870;Puurs;Oui;PUURS-SINT-AMANDS;Anvers
3840;Hendrieken;Oui;BORGLOON;Limbourg
7350;HENSIES;Non;HENSIES;Hainaut
7712;Herseaux;Oui;MOUSCRON;Hainaut
5377;Heure;Oui;SOMME-LEUZE;Namur
